d,detectors,shots,rate_uf,ci_uf,rate_wuf,ci_wuf,rate_mwpm,ci_mwpm,improve_abs,improve_rel,closes_gap_frac,uf_syn_per_s,wuf_syn_per_s,wuf_over_uf
3,16,300000,0.112453,0.001131,0.099287,0.001070,0.098713,0.001067,0.013167,0.1171,0.9583,2815538,3020407,0.932
5,72,300000,0.126920,0.001191,0.118173,0.001155,0.107647,0.001109,0.008747,0.0689,0.4538,483376,480668,1.006
7,192,300000,0.151147,0.001282,0.129863,0.001203,0.109493,0.001117,0.021283,0.1408,0.5110,174872,173349,1.009
9,400,300000,0.167380,0.001336,0.142410,0.001251,0.110910,0.001124,0.024970,0.1492,0.4422,82019,77095,1.064
11,720,300000,0.185640,0.001391,0.156620,0.001301,0.113950,0.001137,0.029020,0.1563,0.4048,43588,40492,1.076
